words,00s,10s,20s
wore,0,1,0
work,0,2,0
working,0,1,0
worry,1,1,0
worse,0,1,0
worst,0,2,0
worth,0,4,0
wrap,1,1,0
wrapped,0,1,0
wreck,0,1,0
wringing,0,1,0
write,0,1,0
written,0,1,0
wrong,3,0,1
wrung,0,1,0
ya,0,1,0
year,0,4,0
yellow,0,1,0
york,0,1,0
young,1,1,0
youth,0,2,0
